iter	RMSE
0	9.6174329
1	9.552353268
2	9.49236795
3	9.440912922
4	9.394853281
5	9.348690659
6	9.301357543
7	9.265590489
8	9.225725436
9	9.190699185
10	9.15189214
11	9.115029127
12	9.087001546
13	9.059614403
14	9.034192957
15	9.010119183
16	8.986169346
17	8.966114048
18	8.947360473
19	8.928633927
20	8.906624789
21	8.887563171
22	8.869397255
23	8.850567873
24	8.836751173
25	8.820837412
26	8.802188523
27	8.785211646
28	8.770592798
29	8.753747944
30	8.742563716
31	8.726107257
32	8.711816756
33	8.700343741
34	8.692090106
35	8.680909815
36	8.671796027
37	8.661904012
38	8.652112866
39	8.638937813
40	8.631022457
41	8.621350808
42	8.611762754
43	8.601948831
44	8.592191327
45	8.585016834
46	8.578675264
47	8.571223873
48	8.563294305
49	8.556185961
50	8.550048851
51	8.544244589
52	8.539395438
53	8.533083296
54	8.524993277
55	8.518799426
56	8.508921046
57	8.502595558
58	8.494356658
59	8.487044131
60	8.48270724
61	8.477908442
62	8.469184312
63	8.46500542
64	8.45979423
65	8.455324038
66	8.448163999
67	8.443673
68	8.43895815
69	8.436346827
70	8.432147429
71	8.429757549
72	8.423307318
73	8.418642407
74	8.411995122
75	8.409109019
76	8.402235571
77	8.398657979
78	8.390708787
79	8.383476515
80	8.37655069
81	8.372447482
82	8.368734141
83	8.362131197
84	8.357122855
85	8.350663725
86	8.348290232
87	8.34183112
88	8.336406435
89	8.332873106
90	8.326279729
91	8.319661073
92	8.315040904
93	8.31044684
94	8.3079164
95	8.305102482
96	8.301283338
97	8.297098332
98	8.293018548
99	8.287038446
100	8.280969359
101	8.272645734
102	8.26858631
103	8.26224026
104	8.258832553
105	8.254578996
106	8.249380983
107	8.246268716
108	8.242725332
109	8.236672196
110	8.234782165
111	8.228827149
112	8.22343706
113	8.218677546
114	8.21826008
115	8.218021095
116	8.213180472
117	8.208204174
118	8.205050397
119	8.201595998
120	8.194912276
121	8.188398475
122	8.18475268
123	8.17999549
124	8.17246516
125	8.170443123
126	8.166493863
127	8.163054918
128	8.160539478
129	8.157546525
130	8.152808478
131	8.148513456
132	8.145892678
133	8.142571154
134	8.139858346
135	8.135654901
136	8.133526207
137	8.129724609
138	8.125932325
139	8.123753105
140	8.123636745
141	8.120615404
142	8.109537736
143	8.106126779
144	8.102006383
145	8.097721028
146	8.095557282
147	8.093623158
148	8.089826759
149	8.083752588
150	8.082005715
151	8.080057528
152	8.075600095
153	8.068957542
154	8.062692904
155	8.059429555
156	8.055204301
157	8.051886238
158	8.047102659
159	8.045184634
160	8.040454477
161	8.03523977
162	8.03254069
163	8.027690612
164	8.023413785
165	8.022523991
166	8.020368817
167	8.016010244
168	8.013598131
169	8.011201565
170	8.006898117
171	8.004606986
172	8.001483571
173	7.996423182
174	7.993346251
175	7.99029571
176	7.986026802
