iter	Passed	Remaining
0	1	528
1	2	508
2	3	502
3	5	498
4	12	1006
5	14	937
6	15	870
7	16	819
8	18	22	99	19	23	910	10	24	811	11	25	812	12	26	813	13	28	714	14	30	715	15	31	716	16	32	717	29	634
18	31	624
19	32	614
20	33	605
21	34	597
22	37	620
23	45	708
24	46	698
25	48	694
26	50	693
27	51	689
28	53	680
29	54	670
30	55	661
31	56	653
32	58	645
33	59	639
34	60	636
35	62	628
36	63	621
37	64	615
38	65	608
39	67	603
40	6841	7041	6942	7242	7143	7343	72	589
44	74	585
45	75	579
46	76	575
47	77	570
48	79	567
49	80	566
50	82	562
51	84	565
52	8653	91	589
54	93	587
55	94	582
56	96	580
57	98	578
58	99	574
59	100	570
60	101	563
61	102	558
62	104	559
63	106	558
64	1064	12165	109	553
66	205	1023
67	207	1014
68	210	1007
69	211	9970	220	1020
71	221	1009
72	223	1000
73	224	989
74	225	978
75	226	967
76	228	957
77	229	946
78	230	936
79	231	926
80	232	981	81	234	909
82	235	883	83	236	884	234	868
8585	241	882
86	243	875
87	244	867
88	245	859
89	247	851
90	248	8491	250	838
92	253	837
93	255	831
94	256	824
95	258	817
96	259	809
97	260	802
98	262	797
99	264	792
100	265	786
101	271	792
102	272	786
103	274	780
104	275	773
105	276	767
106	277	760
107	278	754
108	280	747
109	281	741
110	283	737
111	284	731
112	285	725
113	286	719
114	288	714
115	289	708
116	290	702
117	291	697
118	295	698
119	297	693
120	298	689
121	300	684
122	301	679
123	123	318	124	124	320	125	125	322	126	126	328	705
127	345	733
128	346	728
129	347	722
130	349	717
131	350	711
132	351	705
133	353	701
134	354	696
135	356	691
136	356	685
137	361	685
138	362	680
139	363	674
140	367	675
141	369	671
142	370	666
143	371	661
144	373	656
145	374	651
146	381	656
147	382	651
148	383	646
149	385	642
150	387	638
151	388	633
152	389	629
153	390	624
154	392	619
155	393	616
156	395	611
157	396	607
158	397	602
159	398	598
160	399	593
161	401	589
162	402	585
163	403	580
164	404	576
165	406	572
166	407	569
167	409	565
168	414	565
169	415	562
170	416	558
171	422	559
172	423	555
173	424	551
174	425	547
175	426	542
176	427	538
177	429	535
178	430	531
179	431	527
180	433	524
181	434	520
182	435	516
183	436	512
184	437	508
185	438	5051186	440	5021187	442	4981188	443	4951189	444	4911190	446	4881191	447	484
192	448	481
193	450	4771194	451	4741195	455	4741196	460	474
197	462	471
198	463	467
199	464	464
200	465	461
201	466	457
202	468	454
203	470	451
204	471	448
205	472	206	206	476	444
207	478	441
208	479	438
209	481	435
210	482	432
211	484	429
212	485	426
213	486	422
214	487	419
215	488	216	216	489	217	217	491	218	218	492	219	219	496	406
220	497	221	221	501	222	222	505	400
223	506	224	224	510	397
225	512	226	226	515	227	227	518	228	228	520	229	229	522	230	230	528	231	231	533	232	519	372
233	521	370
234	523	367
235	525	365
236	529	364
237	237	548	238	538	363
239	543	362
240	549	362
241	551	359
242	555	359
243	559	357
244	244	583	368
245	585	246	717	444
247	727	445
248	728	441
249	730	438
250	731	434
251	732	430
252	733	426
253	734	422
254	738	419
255	739	416
256	760	423
257	762	419
258	780	424
259	781	420
260	790	420
261	791	416
262	792	412
263	794	409
264	795	405
265	796	401
266	797	397
267	798	393
268	800	389
269	801	385
270	802	381
271	805	379
272	807	375
273	808	371
274	810	368
275	812	364
276	813	361
277	826	362
278	827	358
279	828	355
280	829	351
281	831	347
282	832	344
283	833	340
284	834	336
285	836	333
286	838	329
287	839	326
288	841	323
289	843	319
290	844	316
291	846	312
292	847	309
293	848	305
294	849	302
295	850	298
296	852	295
297	853	292
298	854	288
299	855	285
300	856	281
301	858	278
302	861	275
303	862	272
304	867	270
305	869	266
306	870	263
307	872	260
308	873	257
309	874	253
310	875	250
311	876	247
312	312	898	249
313	900	246
314	905	244
315	907	241
316	911	238
317	912	235
318	914	232
319	915	228
320	917	225
321	919	222
322	920	219
323	921	216
324	922	212
325	924	326	968	216
327	970	213
328	971	209
329	973	206
330	974	203
331	976	199
332	977	196
333	978	193
334	979	190
335	981	186
336	982	183
337	983	180
338	984	177
339	986	174
340	988	171
341	990	167
342	992	164
343	993	161
344	994	158
345	995	155
346	996	152
347	998	149
348	999	146
349	1001	143
350350	1074	149
351	1076	146
352	1078	143
353	1079	140
354	1081	137
355	1083	133
356	1084	130
357	1085	127
358	1087	124
359	1088	120
360	1089	117
361	1090	114
362	1092	111
363	1093	108
364	1095	105
365	1097	101
366	1099	98
367	1101	95
368	1102	92
369	1103	89
370	1105	86
371	1106	83
372	1107	80
373	1109	77
374	1110	74
375	1115	71
376	1117	68
377	1118	65
378	1119	62
379	1121	59
380	1122	55
381	1123	52
382	1124	49
383	1125	46
384	1126	43
385	1127	40
386	1128	37
387	1130	34
388	1131	32
389	1139	29
390	1140	26
391	1141	23
392	1142	20
393	1143	17
394	1144	14
395	1146	11
396	1148	8
397	1149	5
398	1150	2
399	1151	0
